epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,53.8372,0.75316,0.65566,1.26545,0.84596,0.47621,0.5258,0.30304,1.71955,2.01923,1.44448,1.90949e-05,1.90949e-05,1.90949e-05
83,54.2921,0.86029,0.68118,1.37724,0.84596,0.47621,0.5258,0.30304,1.71955,2.01923,1.44448,1.83646e-05,1.83646e-05,1.83646e-05
84,54.8161,0.73595,0.75693,1.12221,0.85593,0.46908,0.5275,0.30517,1.7366,2.06108,1.45275,1.76107e-05,1.76107e-05,1.76107e-05
85,55.2725,0.74755,0.88799,1.15668,0.85593,0.46908,0.5275,0.30517,1.7366,2.06108,1.45275,1.68333e-05,1.68333e-05,1.68333e-05
86,55.7457,0.66896,1.04777,1.09538,0.85593,0.46908,0.5275,0.30517,1.7366,2.06108,1.45275,1.60323e-05,1.60323e-05,1.60323e-05
87,56.2395,1.17949,1.75784,1.64213,0.85593,0.46908,0.5275,0.30517,1.7366,2.06108,1.45275,1.52077e-05,1.52077e-05,1.52077e-05
88,56.7659,0.63956,0.83463,1.0784,0.84828,0.46953,0.52605,0.30312,1.75973,2.19264,1.48346,1.43596e-05,1.43596e-05,1.43596e-05
89,57.2253,0.66911,0.61236,1.35748,0.84828,0.46953,0.52605,0.30312,1.75973,2.19264,1.48346,1.34879e-05,1.34879e-05,1.34879e-05
90,57.7109,0.77557,0.79964,1.23092,0.84828,0.46953,0.52605,0.30312,1.75973,2.19264,1.48346,1.25927e-05,1.25927e-05,1.25927e-05
91,61.1038,0.52216,0.48655,0.94506,0.84828,0.46953,0.52605,0.30312,1.75973,2.19264,1.48346,1.16739e-05,1.16739e-05,1.16739e-05
92,61.6425,0.48117,0.48639,0.83038,0.85225,0.46765,0.52399,0.29571,1.71254,2.02522,1.43541,1.07315e-05,1.07315e-05,1.07315e-05
93,62.088,0.5844,0.51079,0.96419,0.85225,0.46765,0.52399,0.29571,1.71254,2.02522,1.43541,9.76562e-06,9.76562e-06,9.76562e-06
94,62.5528,0.58722,0.51521,1.04227,0.85225,0.46765,0.52399,0.29571,1.71254,2.02522,1.43541,8.77613e-06,8.77613e-06,8.77613e-06
95,63.0477,0.6383,0.60638,1.05482,0.85225,0.46765,0.52399,0.29571,1.71254,2.02522,1.43541,7.76308e-06,7.76308e-06,7.76308e-06
96,63.5454,0.62969,0.49605,1.22913,0.86873,0.47517,0.52124,0.30277,1.74538,1.93283,1.44567,6.72648e-06,6.72648e-06,6.72648e-06
97,63.9893,0.62085,0.54551,0.98404,0.86873,0.47517,0.52124,0.30277,1.74538,1.93283,1.44567,5.6663e-06,5.6663e-06,5.6663e-06
98,64.4309,0.55591,0.5177,1.09718,0.86873,0.47517,0.52124,0.30277,1.74538,1.93283,1.44567,4.58257e-06,4.58257e-06,4.58257e-06
99,64.9122,0.51876,0.48504,0.92164,0.86873,0.47517,0.52124,0.30277,1.74538,1.93283,1.44567,3.47528e-06,3.47528e-06,3.47528e-06
100,65.4175,0.48786,0.4672,1.01518,0.85349,0.48333,0.53213,0.33258,1.78676,1.90931,1.47047,2.34442e-06,2.34442e-06,2.34442e-06
